"file_code","dataset_id","NCBI_SRA_accession","NCBI_SRA_biosample","sample_code","DNA_RNA","fraction_name","sample_fixation","reads_total","reads_corrected_total","reads_corrected_photo","reads_final","project","cruise","station_id","date","depth_level","depth","elevation","substrate","latitude","longitude","site_name","country","oceanic_region","biome","vegetation","climate","bottom_depth","temperature","salinity","ice_coverage","Chla","NO3","NH4","PO4","Si","dataset_code","dataset_name","gene","gene_region","organelle","region","ecosystem","ecosystem_climate","substrate_type","label","ss_temperature","coalesce_salinity"
"ERR4227226",205,"ERR4227226","","","DNA","total","",291150,287145,9212,NA,"Tara","Tara Oceans","TARA_132","2011-01-01","surface",5,NA,"water",31.5213,-158.996,"","","",NA,NA,"tropical",NA,25.173925,35.181842,NA,NA,-0.979589,NA,NA,NA,"Tara_Ocean_V4","Tara Ocean - V4","18S rRNA","V4","nucleus","Ocean survey","oceanic","","water","205-Tara_Ocean_V4-TARA_132-surface-water",20.8916363636364,35.181842
"ERR4227227",205,"ERR4227227","","","DNA","total","",310454,307894,25823,NA,"Tara","Tara Oceans","TARA_133","2011-01-01","surface",5,NA,"water",35.3671,-127.742,"","","",NA,NA,"temperate",NA,19.249733,33.099008,NA,NA,-0.673592,NA,NA,NA,"Tara_Ocean_V4","Tara Ocean - V4","18S rRNA","V4","nucleus","Ocean survey","oceanic","","water","205-Tara_Ocean_V4-TARA_133-surface-water",16.2085625,33.099008
"ERR4227228",205,"ERR4227228","","","DNA","total","",140493,139892,10246,NA,"Tara","Tara Oceans","TARA_135","2011-01-01","surface",5,NA,"water",32.9986,-121.77,"","","",NA,NA,"temperate",NA,17.428,33.49059,NA,NA,-0.971353,NA,NA,NA,"Tara_Ocean_V4","Tara Ocean - V4","18S rRNA","V4","nucleus","Ocean survey","oceanic","","water","205-Tara_Ocean_V4-TARA_135-surface-water",16.273,33.49059
"ERR4227229",205,"ERR4227229","","","DNA","total","",140182,139653,10462,NA,"Tara","Tara Oceans","TARA_135","2011-01-01","surface",5,NA,"water",32.9986,-121.77,"","","",NA,NA,"temperate",NA,17.428,33.49059,NA,NA,-0.971353,NA,NA,NA,"Tara_Ocean_V4","Tara Ocean - V4","18S rRNA","V4","nucleus","Ocean survey","oceanic","","water","205-Tara_Ocean_V4-TARA_135-surface-water",16.273,33.49059
"ERR4227230",205,"ERR4227230","","","DNA","total","",181990,181054,14276,NA,"Tara","Tara Oceans","TARA_150","2012-01-03","surface",5,NA,"water",35.9346,-37.3032,"","","",NA,NA,"tropical",NA,17.583075,36.3123,NA,NA,-0.328716,NA,NA,NA,"Tara_Ocean_V4","Tara Ocean - V4","18S rRNA","V4","nucleus","Ocean survey","oceanic","","water","205-Tara_Ocean_V4-TARA_150-surface-water",20.7818571428571,36.3123
"ERR4227231",205,"ERR4227231","","","DNA","total","",183119,182128,14183,NA,"Tara","Tara Oceans","TARA_150","2012-01-03","surface",5,NA,"water",35.9346,-37.3032,"","","",NA,NA,"tropical",NA,17.583075,36.3123,NA,NA,-0.328716,NA,NA,NA,"Tara_Ocean_V4","Tara Ocean - V4","18S rRNA","V4","nucleus","Ocean survey","oceanic","","water","205-Tara_Ocean_V4-TARA_150-surface-water",20.7818571428571,36.3123
"ERR4227232",205,"ERR4227232","","","DNA","total","",136148,135162,5736,NA,"Tara","Tara Oceans","TARA_151","2012-01-03","surface",5,NA,"water",36.1715,-29.023,"","","",NA,NA,"tropical",NA,17.260108,36.23775,NA,NA,0.334082,NA,NA,NA,"Tara_Ocean_V4","Tara Ocean - V4","18S rRNA","V4","nucleus","Ocean survey","oceanic","","water","205-Tara_Ocean_V4-TARA_151-surface-water",20.395125,36.23775
"ERR4227233",205,"ERR4227233","","","DNA","total","",136830,135798,6086,NA,"Tara","Tara Oceans","TARA_151","2012-01-03","surface",5,NA,"water",36.1715,-29.023,"","","",NA,NA,"tropical",NA,17.260108,36.23775,NA,NA,0.334082,NA,NA,NA,"Tara_Ocean_V4","Tara Ocean - V4","18S rRNA","V4","nucleus","Ocean survey","oceanic","","water","205-Tara_Ocean_V4-TARA_151-surface-water",20.395125,36.23775
"ERR4227234",205,"ERR4227234","","","DNA","total","",173157,172440,8925,NA,"Tara","Tara Oceans","TARA_152","2012-01-03","surface",5,NA,"water",43.6792,-16.8344,"","","",NA,NA,"temperate",NA,14.28065,35.986042,NA,NA,2.999226,NA,NA,NA,"Tara_Ocean_V4","Tara Ocean - V4","18S rRNA","V4","nucleus","Ocean survey","oceanic","","water","205-Tara_Ocean_V4-TARA_152-surface-water",16.3000625,35.986042
"ERR4227235",205,"ERR4227235","","","DNA","total","",173120,172237,8677,NA,"Tara","Tara Oceans","TARA_152","2012-01-03","surface",5,NA,"water",43.6792,-16.8344,"","","",NA,NA,"temperate",NA,14.28065,35.986042,NA,NA,2.999226,NA,NA,NA,"Tara_Ocean_V4","Tara Ocean - V4","18S rRNA","V4","nucleus","Ocean survey","oceanic","","water","205-Tara_Ocean_V4-TARA_152-surface-water",16.3000625,35.986042
