#WOA18 5 degree ANNUAL nitrate Statistical mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#COMMA SEPARATED LATITUDE, LONGITUDE, AND VALUES AT DEPTHS (M):0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475,500,550,600,650,700,750,800,850,900,950,1000,1050,1100,1150,1200,1250,1300,1350,1400,1450,1500,1550,1600,1650,1700,1750,1800,1850,1900,1950,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600,4700,4800,4900,5000,5100,5200,5300,5400,5500
-77.5,167.5,16.332,16.917,18.163,19.526,21.044,22.547,23.64,24.594,25.362,26.081,26.609,27.595,27.925,28.125,28.371,28.724,28.913,29.1,29.332,29.503,29.631,29.991,29.949,30.138,30.075,30.249,30.131,30.116,30.196,30.24,30.227,30.157,30.043,30.076,30.272,30.293,30.235,30.19,30.291,30.295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-77.5,172.5,20.841,20.664,20.948,21.312,21.578,22.302,22.908,23.5,24.126,24.788,25.408,25.757,26.227,26.725,27.204,27.652,28.083,28.299,28.526,28.783,28.974,29.691,29.945,30.134,30.323,30.323,30.353,30.395,30.468,30.531,30.549,30.563,30.552,30.557,30.614,30.638,30.627,30.51,30.665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-77.5,177.5,20.08,20.222,20.31,20.398,20.542,21.061,21.666,22.356,23.148,23.933,24.529,25.43,26.036,26.158,26.717,27.251,27.698,28.028,28.507,28.749,28.932,29.738,30.179,30.25,30.31,30.435,30.427,30.512,30.662,30.739,30.748,30.851,30.896,30.677,30.743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.5,-177.5,26.125,26.113,26.175,26.176,26.254,26.386,26.562,26.701,26.861,27.01,27.174,27.423,27.636,27.886,28.162,28.459,28.735,28.972,29.185,29.377,29.383,30.401,30.598,31.059,31.49,31.62,31.555,31.687,31.791,31.764,31.768,31.743,31.894,31.878,31.932,31.93,32.022,32.149,32.114,31.927,32.044,31.973,32.125,32.05,32.102,32.07,32.109,32.202,32.176,32.152,32.189,32.222,32.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.5,-172.5,25.027,24.694,24.775,24.878,25.025,25.183,25.408,25.9,26.409,26.71,26.967,27.261,27.521,27.751,27.946,28.096,28.337,28.658,28.959,29.233,29.462,30.332,30.999,31.429,31.73,32.264,32.085,32.104,32.089,32.063,32.071,32.042,32.043,32.028,31.987,31.951,31.909,31.931,31.929,31.91,31.892,31.966,31.913,31.933,31.982,32.045,32.039,32.059,32.088,32.108,32.15,32.139,32.157,32.183,32.22,32.175,32.245,32.205,32.201,32.207,32.263,32.263,32.265,32.274,32.26,32.295,32.297,32.329,32.34,32.404,32.461,32.464,32.476,32.476,32.46,32.488,32.5,32.451,32.487,32.532,32.471,32.413,32.288,32.348,32.351,32.374,32.366,32.77,,,,,,,,,,,,,,
-72.5,-167.5,19.989,20.063,20.901,21.431,21.881,22.26,22.677,23.552,24.616,26.254,27.342,27.557,28.247,28.579,28.879,29.147,29.347,29.468,29.548,29.631,29.878,30.295,31.111,31.825,32.138,32.649,31.986,32.006,32.438,32.434,32.244,32.198,32.256,32.125,32.097,32.098,32.105,32.098,32.137,32.147,32.192,32.172,32.259,32.027,32.216,32.201,32.121,32.149,32.253,32.249,32.239,32.047,32.19,32.276,32.269,32.164,32.137,32.024,32.264,32.277,32.202,32.085,32.244,32.346,32.32,32.319,32.237,32.266,32.316,32.378,32.41,32.434,32.453,32.462,32.472,32.483,32.487,32.485,32.491,32.494,32.499,32.501,32.477,32.471,32.461,32.524,32.537,32.644,,,,,,,,,,,,,,
-72.5,-162.5,18.504,18.537,18.696,19.946,21.482,23.175,24.742,25.565,26.148,26.491,26.722,26.833,26.92,27.045,27.167,27.307,27.446,27.576,27.716,27.863,28.014,28.751,29.829,30.773,31.434,,31.733,31.746,31.765,31.765,31.75,31.734,31.712,31.703,31.699,31.679,31.667,31.713,31.808,31.891,31.871,31.867,31.637,31.884,31.674,31.648,31.61,31.646,31.679,31.695,31.694,31.681,31.682,31.706,31.723,31.732,31.74,31.756,31.781,31.818,31.851,31.866,31.867,31.869,31.87,31.864,31.848,31.807,31.811,31.923,32.001,31.985,32.047,32.06,32.074,32.104,32.118,32.097,32.057,32.022,31.96,31.876,31.811,31.827,31.786,31.733,31.74,31.777,,,,,,,,,,,,,,
-72.5,-157.5,24.538,24.517,24.523,24.557,24.623,24.802,25.379,26.026,26.639,27.007,27.288,27.462,27.606,27.743,27.855,27.969,28.086,28.207,28.326,28.447,28.448,29.327,30.314,31.133,31.814,,31.802,31.832,31.703,31.904,31.799,31.799,31.765,31.792,31.868,31.973,31.982,31.933,32.001,32.081,31.924,31.896,32.123,31.974,32.127,32.206,32.146,32.031,32.024,32.142,32.162,32.07,32.091,32.096,32.04,32.014,32.002,32,32.006,32.027,32.048,32.046,32.023,31.941,31.912,31.948,32.134,32.142,32.212,32.262,32.249,32.222,32.226,32.232,32.24,32.258,32.276,32.299,32.33,32.319,32.234,32.176,32.174,32.213,32.147,32.12,32.115,31.837,31.805,,,,,,,,,,,,,
-72.5,-152.5,23.541,23.62,23.707,23.881,24.062,24.246,24.482,24.872,25.488,26.106,26.68,27.141,27.509,27.613,27.827,28.2,28.348,28.516,28.659,28.849,28.966,30.205,31.424,32.202,32.57,32.691,32.476,32.35,32.215,32.179,32.094,32.021,31.91,31.896,31.824,31.821,31.855,31.859,31.835,31.84,31.854,31.886,31.912,31.93,31.999,31.984,31.98,31.953,31.978,32.03,32.046,32.024,32.031,32.077,32.092,32.093,32.091,32.098,32.104,32.106,32.114,32.141,32.168,32.2,32.216,32.24,32.311,32.351,32.354,32.374,32.402,32.437,32.464,32.505,32.531,32.553,32.573,32.561,32.527,32.501,32.489,32.49,32.481,32.474,32.456,32.384,32.294,32.329,32.251,32.233,,,,,,,,,,,,
-72.5,-147.5,24.175,23.1,25.113,25.112,25.253,26.057,26.328,26.599,26.903,27.331,27.876,28.441,29.173,29.759,30.052,30.246,30.291,30.194,30.177,30.217,30.277,31.279,31.87,31.773,31.98,32.042,32.825,32.131,32.193,32.306,32.339,32.327,32.225,32.272,32.165,32.083,32.025,31.948,31.857,31.776,31.77,31.788,31.907,31.989,32.549,32.593,31.987,31.949,32.032,32.102,32.097,32.095,32.109,32.119,32.112,32.211,32.216,32.222,32.238,32.253,32.268,32.28,32.215,32.3,32.308,32.321,32.266,32.299,32.314,32.327,32.335,32.348,32.363,32.36,32.349,32.32,32.316,32.344,32.391,32.421,32.443,32.455,32.42,32.404,32.402,32.36,32.298,32.153,31.83,,,,,,,,,,,,,
